rider_number,rider_name,team,manufacturer,front_tyre,rear_tyre,lap,lap_time,lap_s,t1_s,t2_s,t3_s,t4_s,speed
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,1,1'31.525,,19.498,25.838,22.193,23.996,334.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,2,1'30.703,,18.485,25.756,22.473,23.989,336.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,3,1'30.656,,18.545,25.894,22.263,23.954,336.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,4,1'30.684,,18.469,26.089,22.164,23.962,335.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,5,1'30.487,,18.387,25.834,22.184,24.082,336.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,6,1'30.597,,18.442,25.951,22.183,24.021,336.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,7,1'31.083,,18.607,26.134,22.159,24.183,332.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,8,1'30.744,,18.511,25.978,22.173,24.082,332.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,9,1'30.539,,18.507,25.871,22.162,23.999,332.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,10,1'30.768,,18.513,25.961,22.165,24.129,332.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,11,1'31.115,,18.534,26.007,22.418,24.156,332.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,12,1'31.003,,18.502,25.949,22.229,24.323,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,13,1'30.982,,18.475,26.034,22.27,24.203,335.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,14,1'31.197,,18.557,26.137,22.259,24.244,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,15,1'31.165,,18.495,26.153,22.253,24.264,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,16,1'31.176,,18.524,25.984,22.349,24.319,334.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,17,1'31.193,,18.499,26.117,22.32,24.257,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,18,1'31.352,,18.583,26.082,22.292,24.395,331.2
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,19,1'31.344,,18.6,26.06,22.346,24.338,335.4
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,20,1'31.741,,18.658,26.224,22.425,24.434,334.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,21,1'31.773,,18.719,26.198,22.472,24.384,334.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,22,1'32.035,,18.755,26.191,22.553,24.536,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,23,1'32.150,,18.752,26.309,22.635,24.454,333.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,24,1'32.592,,18.938,26.564,22.556,24.534,329.2
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,25,1'33.435,,19.062,26.812,22.68,24.881,322.3
72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,26,1'34.231,,19.512,26.986,22.681,25.052,312.1
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,1,1'33.400,,20.226,26.586,22.463,24.125,311.2
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,2,1'31.235,,18.712,26.12,22.356,24.047,336.4
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,3,1'30.923,,18.586,26.094,22.214,24.029,329.2
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,4,1'30.893,,18.556,25.995,22.236,24.106,333.3
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,5,1'30.657,,18.581,25.953,22.2,23.923,334.3
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,6,1'30.914,,18.568,26.15,22.15,24.046,334.3
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,7,1'31.016,,18.523,26.078,22.256,24.159,334.3
37,Pedro ACOSTA,Red Bull KTM Factory Racing,Ktm,Soft,Medium,8,1'30.986,,18.557,26.043,22.229,24.157,334.3
