event_code,event_year,session_code,sky,track_codition,humidity,ground_temp,circuit,track_length_m,rider_number,rider_name,team,manufacturer,front_tyre,rear_tyre,lap,lap_time,lap_s,t1_s,t2_s,t3_s,t4_s,speed
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,1,1'31.525,91.525,19.498,25.838,22.193,23.996,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,2,1'30.703,90.703,18.485,25.756,22.473,23.989,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,3,1'30.656,90.656,18.545,25.894,22.263,23.954,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,4,1'30.684,90.684,18.469,26.089,22.164,23.962,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,5,1'30.487,90.487,18.387,25.834,22.184,24.082,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,6,1'30.597,90.597,18.442,25.951,22.183,24.021,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,7,1'31.083,91.083,18.607,26.134,22.159,24.183,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,8,1'30.744,90.744,18.511,25.978,22.173,24.082,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,9,1'30.539,90.539,18.507,25.871,22.162,23.999,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,10,1'30.768,90.768,18.513,25.961,22.165,24.129,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,11,1'31.115,91.115,18.534,26.007,22.418,24.156,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,12,1'31.003,91.003,18.502,25.949,22.229,24.323,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,13,1'30.982,90.982,18.475,26.034,22.27,24.203,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,14,1'31.197,91.197,18.557,26.137,22.259,24.244,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,15,1'31.165,91.165,18.495,26.153,22.253,24.264,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,16,1'31.176,91.176,18.524,25.984,22.349,24.319,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,72,Marco BEZZECCHI,Aprilia Racing,Aprilia,Soft,Medium,17,1'31.193,91.193,18.499,26.117,22.32,24.257,333.3
